Vector Size, Broadcast Time (seconds)
11310, 1.2609e-05
11320, 1.3023e-05
11330, 2.3395e-05
11340, 1.2884e-05
11350, 1.2552e-05
11360, 1.2844e-05
11370, 1.2536e-05
11380, 1.2496e-05
11390, 1.2687e-05
11400, 1.3735e-05
11410, 1.3169e-05
11420, 1.297e-05
11430, 2.1154e-05
11440, 1.3171e-05
11450, 1.2894e-05
11460, 1.2458e-05
11470, 1.2797e-05
11480, 1.2258e-05
11490, 1.2479e-05
11500, 1.2129e-05
11510, 1.2377e-05
11520, 1.2297e-05
11530, 1.2075e-05
11540, 1.2242e-05
11550, 1.213e-05
11560, 1.3069e-05
11570, 1.29e-05
11580, 1.3285e-05
11590, 1.3127e-05
11600, 1.3253e-05
11610, 1.3391e-05
11620, 1.3068e-05
11630, 1.4651e-05
11640, 1.3296e-05
11650, 1.3162e-05
11660, 1.3181e-05
11670, 1.3211e-05
11680, 1.3598e-05
11690, 1.3455e-05
11700, 1.368e-05
11710, 1.3658e-05
11720, 1.3448e-05
11730, 1.3765e-05
11740, 1.349e-05
11750, 1.3713e-05
11760, 1.7919e-05
11770, 1.4381e-05
11780, 1.4028e-05
11790, 1.4111e-05
11800, 1.49e-05
11810, 1.432e-05
11820, 1.361e-05
11830, 1.3606e-05
11840, 1.3655e-05
11850, 1.3948e-05
11860, 1.3601e-05
11870, 1.41e-05
11880, 1.3842e-05
11890, 1.4083e-05
11900, 1.3936e-05
11910, 1.4457e-05
11920, 1.4155e-05
11930, 1.3989e-05
11940, 1.5139e-05
11950, 1.3326e-05
11960, 1.3275e-05
11970, 1.344e-05
11980, 1.3379e-05
11990, 1.3508e-05
12000, 1.6889e-05
12010, 1.3828e-05
12020, 1.3943e-05
12030, 1.3893e-05
12040, 1.4098e-05
12050, 1.3734e-05
12060, 1.389e-05
12070, 1.4173e-05
12080, 1.3737e-05
12090, 1.4041e-05
12100, 1.3826e-05
12110, 1.3909e-05
12120, 1.3865e-05
12130, 1.3752e-05
12140, 1.3831e-05
12150, 1.3916e-05
12160, 1.3738e-05
12170, 1.3879e-05
12180, 1.3967e-05
12190, 1.3907e-05
12200, 1.3755e-05
12210, 1.3742e-05
12220, 1.4929e-05
12230, 1.4141e-05
12240, 1.3921e-05
12250, 1.4187e-05
12260, 1.4386e-05
12270, 1.4151e-05
12280, 1.4354e-05
12290, 1.4061e-05
12300, 1.4926e-05
12310, 1.4135e-05
12320, 1.8813e-05
12330, 2.3377e-05
12340, 1.503e-05
12350, 1.4703e-05
12360, 1.394e-05
12370, 1.4093e-05
