Vector Size, Broadcast Time (seconds)
7720, 5.258e-06
7730, 5.139e-06
7740, 5.049e-06
7750, 5.089e-06
7760, 5.159e-06
7770, 5.11e-06
7780, 5.773e-06
7790, 5.012e-06
7800, 4.901e-06
7810, 5.042e-06
7820, 5.018e-06
7830, 8.306e-06
7840, 5.215e-06
7850, 5.207e-06
7860, 5.159e-06
7870, 5.126e-06
7880, 5.234e-06
7890, 5.366e-06
7900, 5.192e-06
7910, 5.032e-06
7920, 5.12e-06
7930, 5.117e-06
7940, 5.074e-06
7950, 1.1236e-05
7960, 5.241e-06
7970, 5.192e-06
7980, 1.1283e-05
7990, 5.223e-06
8000, 5.3e-06
8010, 5.205e-06
8020, 1.1262e-05
8030, 5.219e-06
8040, 5.298e-06
8050, 5.174e-06
8060, 5.252e-06
8070, 5.184e-06
8080, 5.174e-06
8090, 5.261e-06
8100, 5.241e-06
8110, 5.271e-06
8120, 5.14e-06
8130, 5.167e-06
8140, 5.413e-06
8150, 5.244e-06
8160, 5.403e-06
8170, 5.296e-06
8180, 5.33e-06
8190, 5.342e-06
8200, 5.314e-06
8210, 5.284e-06
8220, 5.415e-06
8230, 5.259e-06
8240, 5.275e-06
8250, 6.316e-06
8260, 5.306e-06
8270, 5.527e-06
8280, 5.363e-06
8290, 5.292e-06
8300, 5.461e-06
8310, 5.283e-06
8320, 5.323e-06
8330, 5.448e-06
8340, 5.332e-06
8350, 5.365e-06
8360, 5.309e-06
8370, 6.337e-06
8380, 5.477e-06
8390, 5.414e-06
8400, 5.614e-06
8410, 5.436e-06
8420, 5.47e-06
8430, 5.577e-06
8440, 5.456e-06
8450, 5.331e-06
8460, 5.571e-06
8470, 5.476e-06
8480, 5.487e-06
8490, 5.63e-06
8500, 5.485e-06
8510, 5.459e-06
8520, 5.589e-06
8530, 5.478e-06
8540, 5.718e-06
8550, 5.245e-06
8560, 5.319e-06
8570, 5.259e-06
8580, 5.394e-06
8590, 5.471e-06
8600, 6.562e-06
8610, 5.557e-06
8620, 5.691e-06
8630, 5.414e-06
8640, 5.332e-06
8650, 6.317e-06
8660, 5.443e-06
8670, 5.321e-06
8680, 5.325e-06
8690, 5.23e-06
8700, 5.521e-06
8710, 5.616e-06
8720, 5.409e-06
8730, 5.312e-06
8740, 5.533e-06
8750, 5.435e-06
8760, 5.388e-06
8770, 5.526e-06
8780, 5.456e-06
8790, 5.645e-06
8800, 6.287e-06
8810, 5.441e-06
8820, 6.199e-06
8830, 5.463e-06
8840, 5.295e-06
8850, 5.45e-06
8860, 5.526e-06
8870, 5.577e-06
8880, 5.509e-06
8890, 5.441e-06
8900, 5.792e-06
8910, 5.376e-06
8920, 5.349e-06
8930, 5.464e-06
8940, 6.69e-06
8950, 5.644e-06
8960, 5.196e-06
8970, 5.557e-06
8980, 5.352e-06
8990, 5.629e-06
9000, 5.385e-06
9010, 5.533e-06
9020, 5.339e-06
9030, 5.372e-06
9040, 5.518e-06
9050, 5.878e-06
9060, 5.548e-06
9070, 5.474e-06
9080, 5.731e-06
9090, 5.532e-06
9100, 5.515e-06
9110, 5.357e-06
9120, 5.636e-06
9130, 5.641e-06
9140, 5.345e-06
9150, 5.433e-06
9160, 5.587e-06
9170, 5.384e-06
9180, 5.364e-06
9190, 5.582e-06
9200, 1.1608e-05
9210, 5.688e-06
9220, 6.034e-06
9230, 5.775e-06
9240, 5.609e-06
9250, 5.517e-06
9260, 5.852e-06
9270, 5.539e-06
9280, 5.803e-06
9290, 5.341e-06
9300, 5.758e-06
9310, 1.3806e-05
9320, 5.556e-06
9330, 5.86e-06
9340, 5.681e-06
9350, 5.917e-06
9360, 5.543e-06
9370, 5.787e-06
9380, 5.925e-06
9390, 5.8e-06
9400, 5.822e-06
9410, 5.535e-06
9420, 5.678e-06
9430, 5.596e-06
9440, 5.615e-06
9450, 5.525e-06
9460, 5.757e-06
9470, 5.565e-06
9480, 5.891e-06
9490, 5.581e-06
9500, 5.914e-06
9510, 5.598e-06
9520, 5.684e-06
9530, 5.796e-06
9540, 5.666e-06
9550, 5.779e-06
9560, 5.645e-06
9570, 5.878e-06
9580, 5.861e-06
9590, 5.682e-06
9600, 5.914e-06
9610, 5.746e-06
9620, 5.851e-06
9630, 5.473e-06
9640, 5.782e-06
9650, 5.77e-06
9660, 5.627e-06
9670, 5.66e-06
9680, 5.644e-06
9690, 5.77e-06
9700, 5.606e-06
9710, 5.712e-06
9720, 5.886e-06
9730, 5.744e-06
9740, 6.167e-06
9750, 5.969e-06
9760, 5.797e-06
9770, 6.021e-06
9780, 5.915e-06
9790, 6.687e-06
9800, 5.939e-06
9810, 5.783e-06
9820, 6.047e-06
9830, 5.99e-06
9840, 6.131e-06
9850, 6.113e-06
9860, 6.014e-06
9870, 6.063e-06
9880, 6.135e-06
9890, 5.715e-06
9900, 5.717e-06
9910, 5.862e-06
9920, 5.662e-06
9930, 5.638e-06
9940, 6.033e-06
9950, 5.744e-06
9960, 6.043e-06
9970, 5.987e-06
9980, 5.701e-06
9990, 5.588e-06
10000, 5.577e-06
10010, 6.084e-06
10020, 6.426e-06
10030, 5.862e-06
10040, 6.032e-06
10050, 5.725e-06
10060, 5.963e-06
10070, 5.765e-06
10080, 5.813e-06
10090, 5.833e-06
10100, 5.756e-06
10110, 5.978e-06
10120, 5.907e-06
10130, 5.751e-06
10140, 6.075e-06
10150, 5.755e-06
10160, 5.765e-06
10170, 5.772e-06
10180, 6.5874e-05
10190, 7.527e-06
10200, 6.172e-06
10210, 5.753e-06
10220, 5.946e-06
10230, 6.293e-06
10240, 6.711e-06
10250, 6.596e-06
10260, 6.076e-06
10270, 5.956e-06
10280, 6.005e-06
10290, 5.966e-06
10300, 6.744e-06
10310, 5.993e-06
10320, 6.144e-06
10330, 5.937e-06
10340, 6.022e-06
10350, 5.939e-06
10360, 6.366e-06
10370, 5.403e-06
10380, 5.418e-06
10390, 5.45e-06
10400, 5.622e-06
10410, 1.1674e-05
10420, 5.687e-06
10430, 5.718e-06
10440, 5.653e-06
10450, 5.563e-06
10460, 5.651e-06
10470, 5.811e-06
10480, 5.853e-06
10490, 5.75e-06
10500, 5.617e-06
10510, 5.481e-06
10520, 5.576e-06
10530, 5.53e-06
10540, 6.073e-06
10550, 5.524e-06
10560, 5.772e-06
10570, 6.251e-06
10580, 5.788e-06
10590, 5.616e-06
10600, 5.803e-06
10610, 5.793e-06
10620, 5.767e-06
10630, 1.2064e-05
10640, 6.28e-06
10650, 5.775e-06
10660, 5.93e-06
10670, 6.572e-06
10680, 5.842e-06
10690, 5.709e-06
10700, 6.459e-06
10710, 5.722e-06
10720, 6.619e-06
10730, 5.661e-06
10740, 5.792e-06
10750, 5.807e-06
10760, 5.976e-06
10770, 5.582e-06
10780, 5.909e-06
10790, 5.616e-06
10800, 5.833e-06
10810, 5.644e-06
10820, 5.816e-06
10830, 5.704e-06
10840, 8.896e-06
10850, 5.68e-06
10860, 5.969e-06
10870, 5.965e-06
10880, 6.285e-06
10890, 5.922e-06
10900, 5.886e-06
10910, 5.631e-06
10920, 5.96e-06
10930, 5.728e-06
10940, 6.701e-06
10950, 6.048e-06
10960, 6.818e-06
10970, 5.696e-06
10980, 6.171e-06
10990, 5.904e-06
11000, 6.633e-06
11010, 5.871e-06
11020, 5.976e-06
11030, 5.713e-06
11040, 5.934e-06
11050, 5.775e-06
11060, 5.962e-06
11070, 5.817e-06
11080, 5.959e-06
11090, 6.007e-06
11100, 5.994e-06
11110, 5.873e-06
11120, 5.882e-06
11130, 5.876e-06
11140, 6.305e-06
11150, 6.558e-06
11160, 5.995e-06
11170, 1.196e-05
11180, 5.784e-06
11190, 6.325e-06
11200, 5.833e-06
11210, 5.805e-06
11220, 6.587e-06
11230, 6.455e-06
11240, 6.034e-06
11250, 5.851e-06
11260, 5.914e-06
11270, 6.18e-06
11280, 5.965e-06
11290, 6.177e-06
11300, 6.103e-06
11310, 5.782e-06
11320, 5.962e-06
11330, 5.973e-06
11340, 5.965e-06
11350, 5.843e-06
11360, 5.836e-06
11370, 6.393e-06
11380, 5.993e-06
11390, 5.962e-06
11400, 6.06e-06
11410, 5.805e-06
11420, 5.884e-06
11430, 6.245e-06
11440, 6.227e-06
11450, 6.18e-06
11460, 6.117e-06
11470, 6.026e-06
11480, 5.854e-06
11490, 6.008e-06
11500, 5.828e-06
11510, 5.998e-06
11520, 5.971e-06
11530, 6.496e-06
11540, 5.864e-06
11550, 7.067e-06
11560, 6.077e-06
11570, 6.01e-06
11580, 6.125e-06
11590, 6.133e-06
11600, 6.064e-06
11610, 5.907e-06
11620, 6.128e-06
11630, 6.03e-06
11640, 5.979e-06
11650, 5.971e-06
11660, 6.153e-06
11670, 6.213e-06
11680, 6.274e-06
11690, 5.89e-06
11700, 5.998e-06
11710, 6.059e-06
11720, 8.667e-06
11730, 5.974e-06
11740, 2.472e-05
11750, 5.953e-06
11760, 6.023e-06
11770, 6.459e-06
11780, 6.093e-06
11790, 6.012e-06
11800, 6.054e-06
11810, 5.988e-06
11820, 7.127e-06
11830, 6.165e-06
11840, 5.802e-06
11850, 6.041e-06
11860, 5.994e-06
11870, 6.693e-06
11880, 6.214e-06
11890, 6.684e-06
11900, 5.969e-06
11910, 5.923e-06
11920, 5.886e-06
11930, 5.917e-06
11940, 6.228e-06
11950, 5.994e-06
11960, 6.023e-06
11970, 5.472e-06
11980, 5.978e-06
11990, 5.833e-06
12000, 6.007e-06
12010, 6.757e-06
12020, 6.172e-06
12030, 6.038e-06
12040, 6.221e-06
12050, 5.915e-06
12060, 5.839e-06
12070, 6.54e-06
12080, 6.216e-06
12090, 6.141e-06
12100, 5.97e-06
12110, 6.032e-06
12120, 7.278e-06
12130, 6.543e-06
12140, 6.06e-06
12150, 8.866e-06
12160, 6.271e-06
12170, 1.2494e-05
12180, 6.169e-06
12190, 1.3071e-05
12200, 6.099e-06
12210, 6.101e-06
12220, 6.084e-06
12230, 6.202e-06
12240, 6.283e-06
12250, 6.115e-06
12260, 6.046e-06
12270, 6.143e-06
12280, 6.057e-06
12290, 6.236e-06
12300, 6.316e-06
12310, 1.4451e-05
12320, 6.315e-06
12330, 6.57e-06
12340, 6.389e-06
12350, 5.969e-06
12360, 6.135e-06
12370, 7.006e-06
12380, 6.462e-06
12390, 5.948e-06
12400, 6.521e-06
12410, 7.473e-06
12420, 6.408e-06
12430, 6.33e-06
12440, 6.076e-06
12450, 6.024e-06
12460, 6.232e-06
12470, 6.08e-06
12480, 6.09e-06
12490, 6.326e-06
12500, 6.038e-06
12510, 6.088e-06
12520, 6.177e-06
12530, 6.483e-06
12540, 6.336e-06
12550, 6.095e-06
12560, 5.881e-06
12570, 6.36e-06
12580, 6.31e-06
12590, 6.203e-06
12600, 6.077e-06
12610, 7.118e-06
12620, 6.203e-06
12630, 6.153e-06
12640, 6.311e-06
12650, 6.452e-06
12660, 1.52e-05
12670, 1.6231e-05
12680, 7.507e-06
12690, 7.239e-06
12700, 7.205e-06
12710, 6.96e-06
